,date_range,state,covid_conspiracy,covid_hoax,pizzagate,plandemic,wuhan_lab
162,2020-06-01 2020-06-30,Florida,8.0,32.0,63.0,44.0,21.0
163,2020-06-01 2020-06-30,Georgia,7.0,26.0,72.0,58.0,19.0
164,2020-06-01 2020-06-30,Hawaii,0.0,45.0,26.0,100.0,100.0
165,2020-06-01 2020-06-30,Idaho,0.0,0.0,72.0,80.0,0.0
166,2020-06-01 2020-06-30,Illinois,23.0,19.0,79.0,34.0,25.0
167,2020-06-01 2020-06-30,Indiana,0.0,18.0,67.0,0.0,0.0
168,2020-06-01 2020-06-30,Iowa,0.0,0.0,56.0,43.0,43.0
169,2020-06-01 2020-06-30,Kansas,0.0,0.0,52.0,0.0,0.0
170,2020-06-01 2020-06-30,Kentucky,12.0,0.0,70.0,0.0,31.0
171,2020-06-01 2020-06-30,Louisiana,73.0,14.0,57.0,0.0,31.0
172,2020-06-01 2020-06-30,Maine,0.0,0.0,42.0,46.0,93.0
173,2020-06-01 2020-06-30,Maryland,0.0,22.0,38.0,8.0,33.0
174,2020-06-01 2020-06-30,Massachusetts,23.0,7.0,64.0,29.0,58.0
175,2020-06-01 2020-06-30,Michigan,14.0,5.0,68.0,30.0,0.0
176,2020-06-01 2020-06-30,Minnesota,8.0,9.0,46.0,51.0,41.0
177,2020-06-01 2020-06-30,Mississippi,44.0,0.0,92.0,0.0,56.0
178,2020-06-01 2020-06-30,Missouri,16.0,19.0,53.0,21.0,21.0
179,2020-06-01 2020-06-30,Montana,0.0,0.0,61.0,0.0,0.0
180,2020-06-01 2020-06-30,Nebraska,0.0,0.0,81.0,33.0,0.0
181,2020-06-01 2020-06-30,Nevada,29.0,17.0,46.0,19.0,37.0
182,2020-06-01 2020-06-30,New Hampshire,66.0,0.0,38.0,85.0,84.0
183,2020-06-01 2020-06-30,New Jersey,8.0,15.0,54.0,27.0,32.0
184,2020-06-01 2020-06-30,New Mexico,0.0,28.0,45.0,32.0,0.0
185,2020-06-01 2020-06-30,New York,15.0,20.0,56.0,32.0,25.0
186,2020-06-01 2020-06-30,North Carolina,25.0,15.0,50.0,27.0,22.0
187,2020-06-01 2020-06-30,North Dakota,0.0,0.0,100.0,0.0,0.0
