,date_range,DMA,covid_conspiracy,covid_hoax,pizzagate,plandemic,wuhan_lab
183,2020-03-01 2021-01-31,Tallahassee FL-Thomasville GA,0.0,0.0,47.0,21.0,35.0
184,2020-03-01 2021-01-31,Tampa-St. Petersburg (Sarasota) FL,40.0,39.0,42.0,28.0,39.0
185,2020-03-01 2021-01-31,Terre Haute IN,0.0,0.0,44.0,33.0,0.0
186,2020-03-01 2021-01-31,Toledo OH,0.0,9.0,43.0,25.0,37.0
187,2020-03-01 2021-01-31,Topeka KS,0.0,0.0,54.0,32.0,36.0
188,2020-03-01 2021-01-31,Traverse City-Cadillac MI,0.0,0.0,44.0,36.0,37.0
189,2020-03-01 2021-01-31,Tri-Cities TN-VA,0.0,0.0,34.0,25.0,52.0
190,2020-03-01 2021-01-31,Tucson (Sierra Vista) AZ,47.0,45.0,37.0,14.0,41.0
191,2020-03-01 2021-01-31,Tulsa OK,0.0,50.0,48.0,22.0,39.0
192,2020-03-01 2021-01-31,Twin Falls ID,0.0,0.0,33.0,19.0,0.0
193,2020-03-01 2021-01-31,Tyler-Longview(Lufkin & Nacogdoches) TX,0.0,0.0,71.0,25.0,50.0
194,2020-03-01 2021-01-31,Utica NY,0.0,0.0,55.0,19.0,21.0
195,2020-03-01 2021-01-31,Victoria TX,0.0,0.0,52.0,20.0,0.0
196,2020-03-01 2021-01-31,Waco-Temple-Bryan TX,0.0,0.0,58.0,14.0,56.0
197,2020-03-01 2021-01-31,Washington DC (Hagerstown MD),36.0,35.0,29.0,22.0,65.0
198,2020-03-01 2021-01-31,Watertown NY,0.0,0.0,65.0,20.0,0.0
199,2020-03-01 2021-01-31,Wausau-Rhinelander WI,0.0,0.0,36.0,41.0,49.0
200,2020-03-01 2021-01-31,West Palm Beach-Ft. Pierce FL,62.0,44.0,30.0,24.0,44.0
201,2020-03-01 2021-01-31,Wheeling WV-Steubenville OH,0.0,0.0,42.0,6.0,0.0
202,2020-03-01 2021-01-31,Wichita Falls TX & Lawton OK,0.0,0.0,65.0,17.0,14.0
203,2020-03-01 2021-01-31,Wichita-Hutchinson KS,0.0,61.0,47.0,30.0,38.0
204,2020-03-01 2021-01-31,Wilkes Barre-Scranton PA,0.0,100.0,56.0,26.0,25.0
205,2020-03-01 2021-01-31,Wilmington NC,0.0,0.0,40.0,29.0,45.0
206,2020-03-01 2021-01-31,Yakima-Pasco-Richland-Kennewick WA,0.0,0.0,42.0,23.0,30.0
207,2020-03-01 2021-01-31,Youngstown OH,0.0,0.0,55.0,21.0,71.0
208,2020-03-01 2021-01-31,Yuma AZ-El Centro CA,0.0,0.0,33.0,14.0,0.0
209,2020-03-01 2021-01-31,Zanesville OH,0.0,0.0,37.0,21.0,0.0
