,state,wave,Avoiding contact with other people: Not at all closely,Avoiding contact with other people: Not very closely,Avoiding contact with other people: Somewhat closely,Avoiding contact with other people: Very closely,Avoiding contact with other people: Error Margin,Avoiding contact with other people: N,Avoiding public or crowded places: Not at all closely,Avoiding public or crowded places: Not very closely,Avoiding public or crowded places: Somewhat closely,Avoiding public or crowded places: Very closely,Avoiding public or crowded places: Error Margin,Avoiding public or crowded places: N,Frequently washing hands: Not at all closely,Frequently washing hands: Not very closely,Frequently washing hands: Somewhat closely,Frequently washing hands: Very closely,Frequently washing hands: Error Margin,Frequently washing hands: N,Disinfecting often: Not at all closely,Disinfecting often: Not very closely,Disinfecting often: Somewhat closely,Disinfecting often: Very closely,Disinfecting often: Error Margin,Disinfecting often: N,Wearing a face mask when outside of your home: Not at all closely,Wearing a face mask when outside of your home: Not very closely,Wearing a face mask when outside of your home: Somewhat closely,Wearing a face mask when outside of your home: Very closely,Wearing a face mask when outside of your home: Error Margin,Wearing a face mask when outside of your home: N
78,MS,2,3.3,5.9,34.0,56.9,7.3,347,3.5,3.3,24.2,69.0,6.9,342,1.4,1.9,15.0,81.7,5.7,346,1.8,11.3,27.0,59.9,7.2,347,14.0,15.9,13.6,56.5,7.3,347
79,MT,2,1.9,6.3,46.8,44.9,7.6,255,2.1,6.9,28.6,62.4,7.3,256,2.8,2.1,21.2,73.9,6.7,256,4.8,9.8,35.7,49.7,7.6,254,22.0,18.0,25.9,34.1,7.2,253
80,NC,2,4.0,7.8,32.9,55.4,5.0,522,4.0,5.8,22.7,67.5,4.7,523,3.0,3.9,18.8,74.3,4.4,521,2.6,9.8,29.6,58.0,4.9,522,15.6,12.4,16.7,55.3,5.0,519
81,ND,2,4.5,11.9,38.8,44.8,8.6,210,4.2,7.1,27.2,61.4,8.4,210,3.5,4.2,20.9,71.5,7.8,211,5.2,12.6,36.5,45.8,8.6,211,24.5,17.4,21.6,36.5,8.3,210
82,NE,2,4.0,8.5,35.1,52.5,7.7,262,3.0,5.3,24.0,67.6,7.1,263,1.3,3.5,20.4,74.8,6.6,262,3.4,10.5,33.6,52.5,7.6,262,16.6,14.5,27.0,41.9,7.5,262
83,NH,2,2.2,4.2,30.5,63.1,5.5,369,2.8,4.4,19.5,73.3,5.1,370,1.4,2.0,17.1,79.5,4.6,368,2.2,9.7,32.6,55.5,5.7,369,9.9,8.8,22.6,58.7,5.7,369
84,NJ,2,2.0,4.9,24.9,68.2,4.5,540,2.5,2.5,19.0,76.0,4.1,541,0.8,2.8,15.2,81.2,3.8,539,2.4,9.7,23.5,64.4,4.6,540,2.4,2.0,15.6,80.0,3.9,539
85,NM,2,1.7,10.6,36.1,51.5,10.5,209,3.8,7.9,21.6,66.7,9.9,210,3.8,0.5,24.7,71.0,9.5,211,3.5,12.4,31.1,53.0,10.4,211,9.1,14.2,24.2,52.5,10.5,206
86,NV,2,2.7,7.2,28.3,61.8,6.0,397,2.3,6.1,21.8,69.7,5.7,395,1.4,2.0,15.7,80.9,4.8,396,3.5,8.4,25.3,62.9,6.0,394,10.2,10.0,18.7,61.1,6.0,396
87,NY,2,2.0,1.7,21.8,74.5,4.0,622,1.6,2.3,19.9,76.3,3.9,622,0.7,2.6,15.1,81.7,3.5,620,2.4,7.5,24.6,65.5,4.3,620,1.3,2.3,14.1,82.3,3.5,618
