,state,wave,Avoiding contact with other people: Not at all closely,Avoiding contact with other people: Not very closely,Avoiding contact with other people: Somewhat closely,Avoiding contact with other people: Very closely,Avoiding contact with other people: Error Margin,Avoiding contact with other people: N,Avoiding public or crowded places: Not at all closely,Avoiding public or crowded places: Not very closely,Avoiding public or crowded places: Somewhat closely,Avoiding public or crowded places: Very closely,Avoiding public or crowded places: Error Margin,Avoiding public or crowded places: N,Frequently washing hands: Not at all closely,Frequently washing hands: Not very closely,Frequently washing hands: Somewhat closely,Frequently washing hands: Very closely,Frequently washing hands: Error Margin,Frequently washing hands: N,Disinfecting often: Not at all closely,Disinfecting often: Not very closely,Disinfecting often: Somewhat closely,Disinfecting often: Very closely,Disinfecting often: Error Margin,Disinfecting often: N,Wearing a face mask when outside of your home: Not at all closely,Wearing a face mask when outside of your home: Not very closely,Wearing a face mask when outside of your home: Somewhat closely,Wearing a face mask when outside of your home: Very closely,Wearing a face mask when outside of your home: Error Margin,Wearing a face mask when outside of your home: N
217,DE,7,1.6,7.1,33.7,57.6,7.9,284,1.3,4.4,27.1,67.1,7.6,283,0.9,5.6,10.6,83.0,6.0,284,2.4,10.9,25.3,61.4,7.8,285,0.6,1.8,8.1,89.5,5.0,278
218,FL,7,3.4,8.7,29.9,58.0,5.5,488,4.5,8.5,20.8,66.2,5.3,489,1.1,4.3,19.8,74.8,4.9,488,1.8,12.7,28.4,57.0,5.6,490,1.8,4.1,15.9,78.2,4.6,490
219,GA,7,5.7,7.6,30.9,55.8,5.8,434,4.2,8.2,25.7,62.0,5.6,432,1.3,4.4,19.8,74.5,5.1,431,2.7,9.7,28.1,59.5,5.7,434,6.5,5.3,21.3,66.9,5.5,430
220,HI,7,3.4,7.1,38.1,51.4,7.5,291,2.6,7.2,28.2,62.0,7.3,291,1.4,3.4,23.7,71.5,6.8,290,6.1,15.3,28.2,50.4,7.5,289,1.6,3.3,14.5,80.6,5.9,290
221,IA,7,4.1,15.2,40.2,40.6,6.1,407,4.3,13.2,27.8,54.7,6.2,407,1.4,5.6,26.4,66.6,5.9,406,6.0,15.2,34.7,44.1,6.2,407,8.6,8.6,27.0,55.8,6.2,403
222,ID,7,6.7,14.3,38.4,40.6,6.3,349,6.1,12.8,31.6,49.5,6.4,350,2.3,4.0,22.8,70.9,5.8,350,6.1,16.0,30.6,47.3,6.4,350,12.2,11.6,21.6,54.6,6.4,347
223,IL,7,3.0,7.2,33.7,56.1,5.9,469,2.3,5.3,29.7,62.8,5.8,468,0.5,5.7,19.9,73.8,5.2,469,2.6,9.4,33.6,54.4,5.9,469,1.9,2.9,18.1,77.0,5.0,470
224,IN,7,6.8,13.4,40.2,39.6,6.8,318,6.7,10.2,27.8,55.3,6.8,319,3.8,5.1,22.5,68.5,6.4,318,5.7,11.1,32.5,50.7,6.9,317,10.3,9.5,17.2,62.9,6.7,319
225,KS,7,5.0,14.4,31.6,48.9,6.4,365,3.1,12.1,27.6,57.1,6.3,363,2.5,5.0,24.6,67.8,6.0,364,3.8,14.4,38.5,43.4,6.3,362,5.0,7.1,18.6,69.4,5.9,365
226,KY,7,3.0,10.8,35.3,50.9,6.3,389,5.3,6.5,25.6,62.6,6.1,387,3.0,4.2,16.6,76.2,5.4,388,3.8,11.7,26.3,58.2,6.2,386,5.5,6.6,20.3,67.6,5.9,386
227,LA,7,4.8,10.8,30.3,54.1,6.8,403,6.0,7.2,23.5,63.3,6.6,403,1.9,5.1,11.6,81.4,5.3,403,5.1,9.1,27.4,58.4,6.8,402,6.4,3.4,13.9,76.3,5.8,404
228,MA,7,4.0,9.3,34.6,52.1,6.1,363,2.6,5.1,26.0,66.2,5.8,363,0.2,5.9,21.9,72.0,5.5,362,2.7,14.7,28.9,53.7,6.1,362,2.4,3.0,14.5,80.0,4.9,362
229,MD,7,1.1,7.5,33.7,57.8,5.7,462,1.3,4.0,25.0,69.7,5.4,460,0.8,5.0,14.0,80.3,4.6,461,3.1,10.5,26.1,60.4,5.7,461,1.0,2.3,11.4,85.3,4.1,459
230,ME,7,7.7,6.3,40.6,45.4,6.6,311,7.8,4.4,30.2,57.7,6.5,312,3.6,4.2,17.6,74.5,5.8,311,5.4,11.8,28.8,53.9,6.6,312,6.6,9.1,18.7,65.7,6.3,312
231,MI,7,3.9,10.1,33.8,52.2,6.5,366,2.7,7.7,27.0,62.6,6.3,366,4.8,4.2,20.8,70.2,6.0,363,4.1,11.6,30.3,54.0,6.5,366,3.1,3.8,16.0,77.0,5.5,362
232,MN,7,5.2,13.1,42.4,39.2,6.3,382,4.6,9.2,30.4,55.9,6.3,382,2.0,4.2,26.1,67.8,5.9,382,5.5,12.8,35.9,45.7,6.3,382,5.6,10.1,24.4,59.9,6.2,380
233,MO,7,7.8,8.8,43.7,39.7,6.2,357,7.0,8.0,38.4,46.6,6.3,357,4.0,4.1,24.5,67.4,5.9,356,5.4,16.7,32.5,45.5,6.2,356,8.9,9.2,21.2,60.7,6.2,354
234,MS,7,3.7,8.0,35.1,53.2,6.9,374,4.1,4.9,27.3,63.8,6.7,374,1.6,2.2,21.4,74.7,6.0,374,3.5,12.3,29.6,54.6,6.9,371,3.8,3.8,18.2,74.2,6.1,373
235,MT,7,10.7,10.6,44.8,33.8,6.8,290,10.9,9.0,30.1,50.0,6.9,289,5.1,4.8,18.6,71.4,6.2,292,7.8,10.0,34.1,48.1,6.9,291,13.2,7.0,20.6,59.2,6.8,290
236,NC,7,5.2,8.9,31.3,54.5,5.8,429,5.1,7.1,21.6,66.2,5.5,428,0.4,4.0,17.7,77.9,4.8,428,4.3,10.2,26.6,58.9,5.7,427,4.2,5.5,12.7,77.6,4.8,427
237,ND,7,7.8,12.9,46.7,32.5,8.8,207,5.7,18.9,35.2,40.2,8.6,208,3.3,4.2,28.6,63.9,8.4,208,6.1,21.7,28.7,43.5,8.7,208,8.8,20.9,25.0,45.3,8.7,208
238,NE,7,6.8,16.8,38.5,37.9,6.4,334,5.5,14.0,27.1,53.3,6.5,334,2.6,6.5,23.6,67.2,6.2,333,6.0,13.4,28.0,52.6,6.5,334,12.0,8.3,25.5,54.2,6.5,334
239,NH,7,2.6,7.5,36.3,53.5,6.5,314,3.5,5.5,25.9,65.1,6.2,314,1.1,3.7,21.8,73.5,5.8,314,4.4,9.9,34.5,51.1,6.5,313,3.7,5.3,17.1,73.8,5.7,313
240,NJ,7,1.6,8.5,30.3,59.6,6.6,389,2.9,7.0,23.5,66.5,6.3,389,1.6,6.5,14.2,77.8,5.6,388,3.2,14.5,24.1,58.1,6.6,390,1.8,5.1,10.8,82.2,5.1,388
241,NM,7,4.4,6.6,33.8,55.3,7.8,334,5.6,6.5,26.3,61.6,7.6,335,1.2,2.2,23.1,73.5,6.9,335,4.3,9.9,29.3,56.4,7.8,335,3.2,1.6,14.7,80.5,6.2,334
242,NV,7,6.5,9.2,35.5,48.7,6.7,431,6.7,9.8,25.5,58.1,6.6,431,1.8,4.5,19.2,74.5,5.8,431,6.3,11.0,27.5,55.2,6.6,430,2.8,2.9,13.7,80.6,5.3,430
243,NY,7,2.4,5.8,28.0,63.8,5.5,462,2.0,4.1,18.8,75.1,5.0,461,0.4,2.8,17.8,78.9,4.7,463,2.5,9.5,23.8,64.3,5.5,461,1.5,2.5,9.2,86.9,3.9,462
244,OH,7,6.2,9.2,29.6,55.0,5.4,478,4.9,6.8,28.4,59.9,5.3,476,2.0,3.7,17.2,77.2,4.6,475,4.1,10.4,26.4,59.1,5.4,475,8.1,5.8,16.1,69.9,5.0,475
245,OK,7,5.0,9.1,42.1,43.7,7.0,382,3.6,10.7,31.1,54.6,7.0,381,1.3,5.0,20.6,73.1,6.2,381,5.0,9.0,25.4,60.5,6.9,381,7.8,9.3,16.8,66.1,6.7,379
246,OR,7,3.0,9.7,38.7,48.6,6.3,395,2.5,10.9,25.3,61.3,6.1,394,0.7,5.7,23.4,70.2,5.7,396,4.6,15.0,33.1,47.2,6.3,395,2.9,5.2,18.6,73.2,5.6,392
247,PA,7,5.5,6.6,35.4,52.5,6.0,477,5.6,5.4,33.0,56.0,6.0,474,2.3,4.9,22.5,70.3,5.5,477,7.1,11.8,27.2,54.0,6.0,477,5.3,3.6,15.1,76.0,5.1,475
248,RI,7,4.6,9.0,29.2,57.1,6.7,319,2.8,6.1,23.8,67.3,6.4,315,2.1,5.7,19.2,72.9,6.0,317,2.7,11.7,25.2,60.4,6.6,317,2.0,3.5,12.6,81.9,5.2,316
249,SC,7,5.4,8.4,32.0,54.3,6.1,421,6.3,6.0,26.5,61.1,6.0,420,4.1,1.8,21.2,72.9,5.4,421,4.2,9.5,33.9,52.4,6.1,421,5.3,4.9,20.2,69.7,5.6,420
250,SD,7,15.6,15.9,43.0,25.5,7.9,254,11.0,12.2,35.1,41.6,7.9,253,2.2,7.6,28.1,62.1,7.7,253,8.8,19.2,35.3,36.8,7.7,253,21.2,14.5,27.4,37.0,7.7,254
251,TN,7,4.0,11.9,41.4,42.7,5.8,468,5.4,7.5,27.9,59.1,5.8,468,2.0,5.0,18.3,74.6,5.1,466,3.5,9.5,32.4,54.6,5.9,466,9.0,8.5,18.4,64.1,5.6,467
252,TX,7,5.9,4.2,32.0,57.8,5.9,481,5.6,5.1,25.1,64.2,5.7,480,2.1,3.4,18.3,76.3,5.0,483,5.2,6.8,28.2,59.8,5.8,482,3.6,1.8,16.9,77.7,4.9,481
253,UT,7,5.0,10.3,34.7,49.9,6.1,438,4.6,7.4,30.8,57.2,6.1,438,0.8,3.7,17.5,78.0,5.1,438,4.1,8.0,36.4,51.6,6.1,437,3.6,4.0,21.8,70.6,5.6,437
254,VA,7,3.8,6.5,31.3,58.3,6.1,400,4.5,5.9,24.4,65.2,5.9,401,2.0,2.1,19.6,76.3,5.3,401,3.3,8.7,34.1,53.9,6.2,402,3.6,4.1,15.1,77.2,5.2,402
255,VT,7,2.0,9.2,36.9,51.9,8.1,200,3.5,6.0,26.3,64.3,7.8,202,4.0,2.8,28.3,64.8,7.8,201,6.3,16.2,36.5,41.0,8.0,202,4.6,9.4,14.4,71.6,7.3,201
256,WA,7,1.4,5.7,33.3,59.5,5.7,443,2.1,6.3,24.3,67.2,5.5,442,0.5,5.5,20.8,73.2,5.2,440,2.3,12.9,34.0,50.7,5.8,443,1.0,3.7,15.9,79.5,4.7,442
257,WI,7,5.7,13.2,33.7,47.4,5.5,442,5.3,8.3,31.0,55.4,5.5,443,1.9,5.7,27.8,64.6,5.3,442,4.7,15.1,35.6,44.6,5.5,440,9.2,9.7,22.1,58.9,5.4,444
258,WV,7,5.8,4.3,36.8,53.0,7.1,362,2.9,8.1,24.4,64.7,6.8,362,0.7,8.4,15.1,75.8,6.1,361,3.8,14.9,27.5,53.7,7.1,360,7.8,4.9,15.8,71.5,6.4,362
259,WY,7,8.5,16.1,37.2,38.2,9.7,156,11.5,16.6,22.9,49.0,10.0,155,3.8,4.8,22.4,69.0,9.2,157,6.3,17.9,28.2,47.5,9.9,157,16.1,15.4,19.2,49.3,10.0,156
260,National,9,4.8,9.5,36.4,49.3,0.9,21142,4.5,8.2,26.3,61.0,0.9,21115,1.6,4.2,19.5,74.7,0.8,21123,4.3,11.5,29.8,54.4,0.9,21090,3.5,5.1,15.7,75.7,0.8,21114
261,AK,9,6.2,13.3,26.2,54.2,13.3,122,8.3,3.6,15.5,72.6,11.9,123,4.4,6.5,13.0,76.2,11.4,122,9.2,9.3,32.1,49.5,13.4,122,4.5,7.7,12.2,75.7,11.5,122
262,AL,9,5.8,9.3,39.2,45.7,5.4,518,6.1,10.2,28.2,55.6,5.4,519,3.4,4.1,18.7,73.9,4.8,517,6.6,12.8,27.7,52.9,5.4,517,5.5,6.0,17.2,71.3,4.9,518
263,AR,9,5.8,9.8,38.0,46.4,6.4,387,5.0,12.1,25.1,57.8,6.3,387,2.5,2.9,18.9,75.7,5.5,387,4.6,11.8,32.9,50.8,6.4,387,3.8,5.8,17.7,72.7,5.7,388
264,AZ,9,4.1,8.3,32.7,54.9,5.9,464,4.0,5.7,30.9,59.5,5.8,464,0.7,2.9,17.8,78.6,4.8,464,3.8,10.3,26.3,59.5,5.8,462,1.4,3.2,19.3,76.1,5.0,463
265,CA,9,4.2,8.6,28.3,58.8,4.3,806,6.1,6.3,22.6,65.1,4.2,804,2.1,4.8,18.2,74.9,3.8,805,4.0,11.0,30.6,54.4,4.4,803,1.6,4.0,13.8,80.6,3.5,806
266,CO,9,8.8,11.0,43.0,37.2,5.4,476,8.2,12.9,27.9,51.0,5.5,474,3.0,5.4,23.3,68.4,5.1,475,6.6,11.9,28.8,52.8,5.5,470,6.2,9.8,17.2,66.9,5.2,473
267,CT,9,3.0,9.1,35.9,52.0,5.7,414,2.3,6.2,23.3,68.2,5.4,410,0.4,3.0,19.7,77.0,4.8,414,2.7,8.5,29.6,59.1,5.7,411,0.7,3.4,16.2,79.7,4.6,413
268,DC,9,1.4,6.8,22.9,68.9,8.4,234,1.2,5.7,20.1,73.0,8.1,234,0.3,5.3,16.9,77.5,7.6,234,4.0,8.8,27.3,59.9,9.0,233,0.5,2.9,11.2,85.4,6.4,233
269,DE,9,3.3,8.4,33.7,54.5,7.9,279,1.9,8.0,22.3,67.7,7.5,277,0.9,1.6,15.1,82.4,6.1,278,2.2,9.4,21.1,67.3,7.5,274,1.0,3.0,11.2,84.8,5.8,276
270,FL,9,2.6,9.0,32.1,56.3,4.7,580,1.9,7.7,21.7,68.6,4.4,580,0.8,4.8,17.6,76.8,4.0,577,1.7,11.5,26.8,60.0,4.7,580,1.3,4.0,15.0,79.8,3.8,580
271,GA,9,6.0,8.1,35.0,51.0,4.9,601,5.8,9.5,26.7,58.1,4.8,602,2.7,2.3,18.1,76.8,4.1,601,5.3,7.8,30.0,56.9,4.8,599,5.6,4.4,16.8,73.3,4.3,601
272,HI,9,2.3,6.9,32.0,58.8,8.4,257,2.1,4.0,23.2,70.8,7.8,256,2.4,1.5,19.8,76.3,7.2,257,4.8,13.6,25.2,56.3,8.5,256,0.2,4.3,15.2,80.3,6.8,255
273,IA,9,5.4,15.0,49.2,30.4,7.5,250,5.6,8.4,37.2,48.8,7.5,251,3.4,5.3,31.8,59.5,7.3,251,5.0,20.4,38.2,36.4,7.3,251,5.4,16.8,25.1,52.7,7.5,250
274,ID,9,9.2,15.3,44.6,31.0,7.9,266,9.8,12.2,29.2,48.8,8.0,266,0.6,7.7,20.7,71.0,7.2,267,3.0,15.1,32.6,49.3,7.9,267,11.6,9.9,17.1,61.4,7.8,266
275,IL,9,4.0,7.9,37.9,50.1,4.8,508,3.4,7.8,23.2,65.6,4.5,507,2.5,3.3,19.7,74.6,4.2,504,4.6,13.4,30.0,52.0,4.8,507,3.4,4.5,14.3,77.8,4.0,506
276,IN,9,7.9,13.1,36.3,42.6,5.3,464,6.7,11.4,26.7,55.2,5.4,463,3.3,3.6,20.5,72.5,4.8,464,7.3,7.7,29.8,55.2,5.4,463,5.3,8.0,17.0,69.6,4.9,464
277,KS,9,6.1,12.1,37.2,44.5,5.8,432,4.6,12.6,32.3,50.6,5.9,435,1.7,4.7,23.9,69.8,5.4,433,3.6,16.0,28.9,51.5,5.9,435,3.6,8.5,21.3,66.6,5.5,435
278,KY,9,4.9,10.7,39.6,44.8,5.3,509,5.4,11.1,25.8,57.6,5.2,510,1.3,7.0,17.4,74.2,4.6,511,4.2,12.3,36.2,47.4,5.3,506,3.2,6.5,20.3,70.0,4.8,512
279,LA,9,4.6,10.8,30.0,54.7,6.4,441,4.7,7.5,24.5,63.3,6.2,441,2.6,6.6,15.6,75.2,5.6,441,4.6,13.4,27.3,54.8,6.4,441,3.1,5.7,16.5,74.8,5.6,442
280,MA,9,3.6,6.2,39.6,50.6,4.9,602,2.5,5.5,26.0,66.0,4.6,600,2.0,4.2,18.5,75.3,4.2,602,3.3,10.1,29.6,57.0,4.8,599,2.0,1.9,14.5,81.6,3.8,598
281,MD,9,3.0,7.2,35.6,54.2,5.0,538,3.0,4.2,26.7,66.1,4.7,536,1.2,3.0,16.1,79.6,4.0,536,3.0,8.7,29.3,59.0,4.9,534,0.8,2.2,11.5,85.5,3.5,536
282,ME,9,5.8,10.0,36.9,47.2,7.0,283,4.4,9.9,27.6,58.1,6.9,285,1.4,3.6,23.2,71.9,6.3,286,4.5,14.2,33.2,48.2,7.0,284,4.8,10.7,19.8,64.7,6.7,286
283,MI,9,3.5,8.2,43.9,44.4,5.0,580,3.8,7.0,29.9,59.3,5.0,578,0.9,3.0,20.8,75.2,4.4,580,3.0,13.7,32.0,51.3,5.1,579,3.3,3.5,15.8,77.4,4.2,578
284,MN,9,7.1,7.0,42.0,43.9,5.3,527,6.0,7.4,30.2,56.3,5.3,525,3.3,5.0,22.0,69.7,4.9,528,6.8,12.2,33.5,47.5,5.3,527,3.5,7.3,17.8,71.4,4.8,527
285,MO,9,6.7,11.7,41.2,40.4,5.3,509,5.6,10.0,32.5,51.9,5.3,505,1.7,4.6,19.5,74.2,4.7,507,3.9,16.0,30.9,49.2,5.3,508,5.3,8.7,18.6,67.4,5.0,506
286,MS,9,3.4,10.9,42.4,43.3,7.3,399,3.4,7.0,30.3,59.2,7.3,398,2.4,2.2,21.6,73.8,6.5,397,4.7,8.7,27.0,59.7,7.3,398,4.2,5.3,16.1,74.5,6.5,398
287,MT,9,6.2,14.7,47.0,32.1,8.4,209,6.6,11.6,28.8,53.0,8.4,209,2.2,5.9,20.6,71.3,7.6,210,6.3,11.0,40.2,42.5,8.3,210,5.5,3.8,17.4,73.4,7.4,210
288,NC,9,3.6,10.6,33.7,52.1,4.8,520,3.9,9.2,23.6,63.3,4.6,519,0.6,5.0,18.8,75.6,4.1,521,3.3,10.0,29.9,56.8,4.7,520,2.2,5.1,14.3,78.3,3.9,521
289,ND,9,6.2,20.9,46.3,26.6,9.1,185,6.4,12.6,39.7,41.4,9.0,184,1.3,8.8,26.9,63.0,8.8,185,3.5,18.5,31.1,46.9,9.1,184,4.5,14.8,29.8,50.9,9.1,185
290,NE,9,8.6,15.4,45.9,30.0,7.3,303,8.9,11.7,35.9,43.5,7.2,305,3.4,2.7,22.9,71.0,6.6,306,6.3,12.5,31.9,49.3,7.3,306,7.4,8.1,16.8,67.8,6.8,303
291,NH,9,2.9,12.2,46.9,38.0,8.3,202,2.1,13.4,26.6,57.9,8.2,202,0.9,4.8,28.3,66.0,7.9,202,5.5,10.5,34.5,49.5,8.4,200,3.9,5.8,21.1,69.2,7.7,201
292,NJ,9,1.6,6.6,36.1,55.7,4.9,515,1.0,5.2,23.0,70.8,4.5,513,0.9,3.6,17.4,78.1,4.1,512,2.3,10.5,27.3,60.0,4.9,515,1.3,3.0,13.8,81.9,3.8,513
293,NM,9,5.4,9.4,36.1,49.1,7.9,313,5.6,8.8,20.1,65.4,7.5,313,1.8,3.5,24.1,70.7,7.2,313,7.0,9.9,27.4,55.7,7.9,310,2.5,6.2,9.9,81.4,6.1,313
294,NV,9,3.4,9.6,39.6,47.4,6.3,436,3.7,9.0,30.6,56.7,6.2,435,0.6,2.9,15.1,81.5,4.9,434,4.7,11.1,27.1,57.0,6.2,436,1.3,3.7,10.0,84.9,4.5,436
295,NY,9,1.1,9.2,31.9,57.7,4.8,616,1.1,5.1,25.9,67.8,4.6,615,0.8,4.1,19.4,75.8,4.2,614,3.0,9.8,27.2,60.0,4.8,614,1.0,5.3,13.2,80.5,3.9,611
296,OH,9,6.0,14.2,36.7,43.1,4.8,515,5.2,9.4,26.4,59.0,4.7,514,3.0,3.0,20.6,73.4,4.2,518,4.9,14.3,29.4,51.4,4.8,515,5.8,5.4,18.2,70.5,4.4,513
297,OK,9,7.8,11.0,39.1,42.1,5.8,484,7.6,9.1,28.7,54.6,5.8,486,1.7,4.2,19.3,74.8,5.1,483,3.4,14.1,27.6,55.0,5.9,484,6.5,6.5,18.5,68.5,5.5,486
298,OR,9,6.5,9.8,38.8,44.9,5.6,472,6.2,10.6,24.6,58.6,5.5,471,3.0,4.2,22.1,70.8,5.1,471,5.0,17.5,29.5,48.0,5.6,470,3.4,6.8,16.9,73.0,5.0,470
299,PA,9,8.0,10.6,40.1,41.4,5.0,510,8.3,9.0,26.9,55.8,5.0,511,3.7,5.7,19.1,71.5,4.6,507,5.9,13.3,34.5,46.3,5.1,508,4.7,4.8,18.8,71.7,4.6,510
300,RI,9,1.7,6.0,36.9,55.4,8.3,253,0.6,7.2,21.6,70.5,7.6,255,0.0,2.0,18.3,79.7,6.7,255,4.8,8.8,26.0,60.4,8.2,255,1.8,3.3,6.8,88.1,5.4,253
301,SC,9,4.5,7.6,38.2,49.7,5.9,449,4.1,5.8,28.1,62.1,5.7,451,1.7,3.0,18.6,76.7,5.0,449,3.7,11.2,27.2,57.9,5.9,447,5.1,5.2,15.9,73.8,5.2,450
302,SD,9,15.0,17.6,27.4,40.0,9.9,184,11.8,15.5,27.1,45.6,10.1,183,2.2,10.9,24.8,62.1,9.8,183,11.0,9.6,34.7,44.7,10.0,183,19.8,10.7,20.9,48.7,10.1,183
303,TN,9,5.5,12.2,37.3,44.9,5.0,499,5.0,10.8,28.2,55.9,5.0,496,1.8,3.7,18.2,76.2,4.3,496,3.2,14.8,28.0,54.0,5.0,498,4.7,6.7,18.2,70.4,4.6,498
304,TX,9,4.9,5.3,33.9,56.0,4.6,639,3.8,6.0,24.6,65.5,4.4,634,1.2,5.2,18.4,75.2,4.0,636,4.9,8.7,27.6,58.9,4.5,638,3.6,3.4,12.0,81.0,3.6,637
305,UT,9,8.2,13.4,45.1,33.3,7.5,271,6.9,12.0,30.5,50.6,7.6,271,0.6,2.7,23.2,73.5,6.7,271,5.6,18.0,25.4,51.0,7.6,271,7.5,6.0,21.2,65.2,7.2,271
306,VA,9,3.6,7.8,37.8,50.9,4.9,541,5.0,4.9,27.2,62.9,4.7,540,1.8,2.4,20.1,75.6,4.2,541,4.2,12.7,25.1,58.1,4.8,540,2.7,2.6,16.3,78.4,4.0,541
307,VT,9,2.3,7.9,43.5,46.2,10.8,131,2.0,9.0,31.8,57.2,10.8,129,3.2,6.6,25.4,64.8,10.4,130,7.6,16.9,35.7,39.8,10.7,129,0.0,7.9,13.7,78.5,8.9,131
308,WA,9,5.6,11.2,38.4,44.8,5.2,487,3.9,8.0,27.5,60.6,5.1,488,0.7,4.1,23.8,71.3,4.7,487,3.8,13.6,38.6,44.0,5.2,486,2.6,3.4,15.0,79.0,4.3,484
309,WI,9,9.3,9.9,39.2,41.5,5.3,449,7.4,7.8,30.9,54.0,5.4,449,1.7,4.5,24.1,69.7,5.0,448,6.1,17.8,34.1,42.1,5.3,446,6.7,6.6,17.0,69.7,4.9,449
310,WV,9,3.8,10.8,36.0,49.4,7.2,371,2.8,9.9,30.3,57.0,7.1,371,1.8,4.2,15.3,78.7,5.9,371,3.8,11.9,26.4,57.9,7.1,370,7.3,5.4,18.6,68.7,6.7,371
311,WY,9,12.9,19.0,35.1,33.0,10.8,142,12.0,16.4,32.2,39.5,11.1,141,3.1,3.9,23.7,69.3,10.4,142,8.6,16.2,35.5,39.7,11.1,142,20.0,9.5,21.9,48.6,11.3,142
