,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,ConfirmedCases,ConfirmedDeaths,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,state
2764,US_CO,STATE_WIDE,20201001,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,71218.0,2054.0,42.13,48.06,45.83,Colorado
2765,US_CO,STATE_WIDE,20201002,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,71898.0,2057.0,42.13,48.06,45.83,Colorado
2766,US_CO,STATE_WIDE,20201003,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,72555.0,2060.0,42.13,48.06,45.83,Colorado
2767,US_CO,STATE_WIDE,20201004,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,73076.0,2068.0,42.13,48.06,45.83,Colorado
2768,US_CO,STATE_WIDE,20201005,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,73537.0,2069.0,42.13,48.06,45.83,Colorado
2769,US_CO,STATE_WIDE,20201006,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,74191.0,2081.0,42.13,48.06,45.83,Colorado
2770,US_CO,STATE_WIDE,20201007,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,74922.0,2085.0,42.13,48.06,45.83,Colorado
2771,US_CO,STATE_WIDE,20201008,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,75785.0,2095.0,42.13,48.06,45.83,Colorado
2772,US_CO,STATE_WIDE,20201009,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,76619.0,2103.0,42.13,48.06,45.83,Colorado
2773,US_CO,STATE_WIDE,20201010,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,77642.0,2112.0,42.13,48.06,45.83,Colorado
2774,US_CO,STATE_WIDE,20201011,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,78461.0,2113.0,42.13,49.72,47.76,Colorado
2775,US_CO,STATE_WIDE,20201012,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,79037.0,2116.0,42.13,49.72,47.76,Colorado
2776,US_CO,STATE_WIDE,20201013,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,80085.0,2153.0,42.13,49.72,47.76,Colorado
2777,US_CO,STATE_WIDE,20201014,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,80777.0,2160.0,42.13,49.72,47.76,Colorado
2778,US_CO,STATE_WIDE,20201015,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,81918.0,2162.0,42.13,49.72,47.76,Colorado
